Year,Quarter,pincode,Transaction_count,Transaction_amount
2020,4,751001,11637193,26523469788.723434
2020,4,700009,11305243,28555964654.22016
2021,1,560001,111898471,154275126291.57785
2021,1,500001,107274281,218270126529.36053
2021,1,411004,99287169,142692099313.18896
2021,1,302016,65639307,124138636281.23145
2021,1,110006,46104924,76683904356.11441
2021,1,462008,45920869,76097617508.03972
2021,1,800001,30937663,68071234953.67711
2021,1,600003,25512152,44939868773.04714
2021,1,400070,25090098,39416189451.46673
2021,1,751001,24151383,44482729136.236565
2021,2,500001,148864777,315432046413.6635
2021,2,560001,123224371,183498284704.3348
2021,2,411004,120795663,186134320440.93646
2021,2,302016,81782827,152295120262.96942
2021,2,462008,57596018,101902493881.58667
2021,2,110006,54888173,88849307061.74399
2021,2,800001,42836603,91781680811.21812
2021,2,600003,31694305,54282023022.639435
2021,2,751001,30961581,53565783087.01067
2021,2,700009,30775525,59587220231.94326
2021,3,500001,173430239,335290201877.6652
2021,3,560001,171396431,241306340924.00638
2021,3,411004,155523883,217400690972.0777
2021,3,302016,108659324,179936124302.00922
2021,3,110006,77515502,117511789786.64261
2021,3,462008,74987334,111259178579.96481
2021,3,800001,49086869,90644799090.27641
2021,3,444510,45378525,84950919432.04364
2021,3,600003,42982007,71274098295.90457
2021,3,751001,41875475,65849220632.325775
2021,4,500001,213053128,398798138080.5086
2021,4,560001,206723470,283864051273.69073
2021,4,411004,185423020,259406175394.85846
2021,4,302016,130544931,225546213678.03116
2021,4,462008,97987017,145639258182.99155
2021,4,110006,96850347,152021116180.99402
2021,4,800001,61784983,113485175570.40105
2021,4,444510,55162139,103212697006.96257
2021,4,600003,54054310,83084090738.55415
2021,4,751001,52532360,79093274940.53792
2022,1,500001,248675599,460948755722.1826
2022,1,560001,224793308,308663371704.65454
2022,1,411004,209101358,285005833904.6318
2022,1,302016,148956604,248958961898.95383
2022,1,462008,119378084,172143368941.8931
2022,1,110006,112708284,170854549748.09644
2022,1,444510,69862188,129741278088.80704
2022,1,800001,68427326,126972470461.14954
2022,1,600003,62446149,95888452779.63263
2022,1,751001,58525215,91210203433.81744
2022,2,500001,296874552,536659038240.45605
2022,2,560001,271515853,367011500113.69904
2022,2,411004,262731186,356436998068.0399
2022,2,302016,181570316,290408785688.9401
2022,2,110006,139136098,200269818218.75818
2022,2,462008,137837715,198147341166.69937
2022,2,444510,93575752,168031360482.06287
2022,2,800001,90260337,162195041186.36075
2022,2,600003,75241472,108938946466.4329
2022,2,751001,69262961,101369063330.80547
2022,3,500034,832279716,1276247184385.9084
2022,3,110006,222465526,294132832922.7636
2022,3,302012,220682742,322546632329.7969
2022,3,411033,217102802,241609848561.36987
2022,3,480001,164538285,229267141662.06653
2022,3,560027,160449902,217879670192.8064
2022,3,800001,143978604,226644911906.22284
2022,3,400070,137051260,170363147506.6858
2022,3,751001,123281915,161654599037.78528
2022,3,700039,82900479,153815755896.1881
2022,4,500034,967508435,1501499856273.482
2022,4,560027,290033166,383980424744.5664
2022,4,411033,263248580,298971294541.89966
2022,4,110006,258183697,349487194869.16797
2022,4,302012,255709582,401447081116.4074
2022,4,480001,240053791,341860974379.64307
2022,4,400070,180508440,226320223720.0673
2022,4,800001,167166031,269652534972.60126
2022,4,751001,140210762,184650659638.9054
2022,4,700039,119193886,219834107643.85355
2023,1,500072,48884911,69139644856.0
2023,1,560068,48544078,49093973079.0
2023,1,560037,36487467,39147776972.0
2023,1,201301,34429152,30542090341.0
2023,1,560076,31427375,31972479780.0
2023,1,500081,31374325,36780272643.0
2023,1,560078,30074920,33530112337.0
2023,1,500032,28718299,32875192612.0
2023,1,560100,27670041,26852310085.0
2023,1,560043,27613832,31447437376.0
2023,2,500072,58118143,80065833852.0
2023,2,560068,54020876,54852308815.0
2023,2,560037,41049027,45095955882.0
2023,2,201301,40364243,33059188347.0
2023,2,500081,37375003,43237645304.0
2023,2,500032,34638820,39216208745.0
2023,2,560076,34380780,35810435341.0
2023,2,560078,33172774,37560041959.0
2023,2,560100,31610913,30713650869.0
2023,2,411057,30991776,24785623038.0
