Year,Quarter,District,Transaction_count,Transaction_amount
2019,2,new delhi,23313548,36146671717.918365
2019,2,rangareddy,16348519,25359412038.382965
2019,2,patna,13421445,26125484618.416542
2019,2,khordha,13339889,19006076643.493904
2019,2,kolkata,13259522,17260848900.77318
2019,2,lucknow,12624404,22426462674.94428
2019,3,bengaluru urban,131234422,150244275641.79712
2019,3,pune,67093416,78128868958.39702
2019,3,hyderabad,55159072,96365182751.25804
2019,3,jaipur,36334520,58402103360.67965
2019,3,new delhi,24687138,43288057341.92169
2019,3,rangareddy,23655175,33663962263.155968
2019,3,khordha,18364742,25509656902.49331
2019,3,medchal malkajgiri,17492750,23256556346.306458
2019,3,visakhapatnam,16694947,26944837120.046288
2019,3,kolkata,16306691,21451201632.248753
2019,4,bengaluru urban,180458808,199966708446.8142
2019,4,pune,91666565,103270644868.1607
2019,4,hyderabad,72987282,130230415629.3025
2019,4,jaipur,44335592,81782144762.48987
2019,4,rangareddy,31237803,44757331443.568375
2019,4,new delhi,29048107,54398427887.76768
2019,4,khordha,27477393,34227232121.528633
2019,4,visakhapatnam,23594874,39133296330.044624
2019,4,medchal malkajgiri,22999944,31417907129.793076
2019,4,kolkata,21917627,26475748918.32508
2020,1,bengaluru urban,200174352,231970686013.7528
2020,1,pune,107497963,119146177775.3236
2020,1,hyderabad,94177232,183207208610.81787
2020,1,jaipur,52623661,98360847993.80875
2020,1,rangareddy,31802492,45881228273.95146
2020,1,visakhapatnam,27115031,48809747614.678894
2020,1,medchal malkajgiri,25458101,37404467180.931694
2020,1,central delhi,24757650,41219414205.0607
2020,1,mumbai suburban,23598054,40462122569.6479
2020,1,khordha,23152370,39755139238.6053
2020,2,bengaluru urban,132120979,176357097466.7659
2020,2,pune,58840981,94890914730.75931
2020,2,hyderabad,56374644,130820061488.30273
2020,2,jaipur,43871862,88270816977.90562
2020,2,visakhapatnam,25300401,48293889917.41437
2020,2,rangareddy,18068048,31273545586.261536
2020,2,medchal malkajgiri,17860704,29732057894.607735
2020,2,central delhi,17641823,30418597739.3527
2020,2,khordha,16842715,34814877058.416145
2020,2,ahmadabad,16430916,32731896547.150326
2020,3,bengaluru urban,188947684,261095181780.0901
2020,3,pune,101472134,154366363808.0403
2020,3,hyderabad,99285803,228448742377.47607
2020,3,jaipur,71797182,138189424031.4575
2020,3,visakhapatnam,34421299,67628440368.111465
2020,3,central delhi,32203761,61527717933.93762
2020,3,rangareddy,29573243,51787722036.044556
2020,3,bhopal,29560361,57525605025.512215
2020,3,medchal malkajgiri,28698311,48831695001.78223
2020,3,khordha,23387123,44638448273.52248
2020,4,bengaluru urban,267720411,352536741958.4486
2020,4,pune,142350762,182511549425.14316
2020,4,hyderabad,117008707,243045184188.2821
2020,4,jaipur,82378485,159641718978.41748
2020,4,rangareddy,53405219,89256130453.08658
2020,4,medchal malkajgiri,49900746,81801106073.41168
2020,4,visakhapatnam,46551467,91879823025.40399
2020,4,bhopal,38492334,67905952477.88091
2020,4,central delhi,32194168,61575435521.28284
2020,4,mumbai suburban,31947471,52567087497.07483
2021,1,bengaluru urban,348712787,432401341231.7671
2021,1,pune,208930588,253623629237.65796
2021,1,hyderabad,169703372,316572388133.7874
2021,1,jaipur,125917532,223771205713.25284
2021,1,bhopal,67309234,101725720745.41443
2021,1,rangareddy,60675056,98883148961.30931
2021,1,medchal malkajgiri,54854446,87516738646.29623
2021,1,central delhi,54173342,90711721159.77658
2021,1,mumbai suburban,49079788,75911506798.24135
2021,1,visakhapatnam,48248923,95308386037.8472
2021,2,bengaluru urban,326804307,444422398357.67755
2021,2,pune,218732925,298657497266.993
2021,2,hyderabad,212326623,424872741465.13696
2021,2,jaipur,137247139,248390977964.5579
2021,2,bhopal,74643630,127038866031.39793
2021,2,rangareddy,63155281,113987187628.93881
2021,2,central delhi,62131856,100895875737.76093
2021,2,medchal malkajgiri,58755991,102864360004.68025
2021,2,visakhapatnam,54390299,114439012713.35336
2021,2,patna,53400850,114936398151.99364
2021,3,bengaluru urban,476485560,626123198813.8513
2021,3,pune,303322956,372243656247.4718
2021,3,hyderabad,262028284,479343321365.3726
2021,3,jaipur,193839196,313664435689.29987
2021,3,bhopal,103403998,146735124186.2163
2021,3,central delhi,88849847,137311394953.58371
2021,3,rangareddy,87884143,147772047919.14047
2021,3,medchal malkajgiri,79514766,130838255095.6952
2021,3,khordha,71647985,108452202806.23244
2021,3,visakhapatnam,69220981,136945652159.26515
2021,4,bengaluru urban,584958847,755926042210.8081
2021,4,pune,371337618,454584743765.05554
2021,4,hyderabad,325636475,582079170534.0186
2021,4,jaipur,231804892,394435778364.0141
2021,4,bhopal,134176541,190196223229.17587
2021,4,rangareddy,111354739,188838966046.13513
2021,4,central delhi,111134916,177625511230.04297
2021,4,medchal malkajgiri,98780634,164568262330.06238
2021,4,khordha,94505879,135122128258.68542
2021,4,mumbai suburban,92733033,134616103622.6073
2022,1,bengaluru urban,648380838,837938769153.0938
2022,1,pune,424149132,508475101454.5797
2022,1,hyderabad,372711414,661512502141.0775
2022,1,jaipur,262950613,434507898653.22876
2022,1,bhopal,159892411,221096758835.27948
2022,1,central delhi,128309915,198072597274.588
2022,1,rangareddy,127675017,216609881380.40106
2022,1,medchal malkajgiri,110893187,185168270983.38605
2022,1,mumbai suburban,104595313,148080835860.6061
2022,1,khordha,104052705,152745328927.4852
2022,2,bengaluru urban,786978117,1013933810932.2711
2022,2,pune,520321567,620747087392.5974
2022,2,hyderabad,446470234,775908693266.7238
2022,2,jaipur,314511010,497492495896.22046
2022,2,bhopal,185588829,255910395858.58392
2022,2,rangareddy,161888380,267052522620.51453
2022,2,central delhi,159034619,232911858055.0848
2022,2,medchal malkajgiri,134114768,221257316347.71973
2022,2,mumbai suburban,125227570,172590494011.93738
2022,2,khordha,124986765,174299128204.99298
2022,3,hyderabad,1018658174,1586047443981.7903
2022,3,bengaluru urban,738035161,930886457807.8191
2022,3,pune,505018506,549531791371.8348
2022,3,jaipur,377469909,564818218571.2906
2022,3,central delhi,243139962,327191972497.86694
2022,3,mumbai suburban,197724164,247678975470.48975
2022,3,patna,188665398,298860414441.2887
2022,3,khordha,182514532,234713995654.54218
2022,3,chhindwara,169367916,236429180484.7117
2022,3,rangareddy,169029273,272598081405.12262
2022,4,hyderabad,1133829812,1753799022390.8733
2022,4,bengaluru urban,876647100,1092079302011.8888
2022,4,pune,544687754,590334491443.0927
2022,4,jaipur,404922774,635458549842.8215
2022,4,central delhi,280960656,386107883617.5307
2022,4,mumbai suburban,248827345,310278216439.5166
2022,4,chhindwara,245710341,350638062974.85736
2022,4,patna,217434851,352393762150.454
2022,4,khordha,208260666,268479766618.40594
2022,4,rangareddy,191136402,295773661437.69385
2023,1,bengaluru urban,1012347596,1167307214747.0
2023,1,pune,505841046,489824129517.0
2023,1,rangareddy,329344012,487359310308.0
2023,1,hyderabad,286887382,415188829698.0
2023,1,medchal malkajgiri,256028955,382423152200.0
2023,1,jaipur,250101628,383391511211.0
2023,1,visakhapatnam,164358781,277211090180.0
2023,1,thane,142097640,164652846524.0
2023,1,gurugram,139674963,149429170153.0
2023,1,gautam buddha nagar,130607154,135979906082.0
2023,2,bengaluru urban,1124713207,1308665877658.0
2023,2,pune,554427668,535801107518.0
2023,2,rangareddy,384456496,561147925919.0
2023,2,hyderabad,328016262,467328236325.0
2023,2,medchal malkajgiri,296231089,434043629718.0
2023,2,jaipur,291245541,414094307123.0
2023,2,visakhapatnam,184918179,303874597259.0
2023,2,gurugram,168827725,167788722810.0
2023,2,gautam buddha nagar,157681545,150948217823.0
2023,2,thane,155714593,178939371434.0
